"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Vladimir Guerrero","- - -","RF","1197","1194","10263.2","2354","93","77","43","11","8","17","0","0","","","","","",".969","10","778"
"Geoff Jenkins","MIL","LF","701","683","6018.0","1322","55","15","4","1","5","7","0","0","","","","","",".989","9","690"
"Jack Wilson","- - -","SS","1274","1236","10830.1","1816","4052","136","60","59","856","445","360","46","","","","","",".977","9","1017"
"Jeff Kent","- - -","2B","1203","1178","10057.1","2319","3268","103","67","17","719","194","347","24","","","","","",".982","9","1119"
"Sean Casey","- - -","1B","1078","1031","8983.0","9040","467","43","19","10","738","30","10","562","102","","","","",".995","8","314"
"Mike Lowell","- - -","3B","1384","1358","11891.1","1078","2536","97","36","39","247","203","11","26","","","","","",".974","8","527"
"Jim Edmonds","- - -","CF","1202","1138","9843.1","2818","77","41","23","8","3","19","0","0","","","","","",".986","8","1153"
"Edgar Renteria","- - -","SS","1575","1531","13377.0","2140","4179","198","88","59","820","354","308","49","","","","","",".970","8","1178"
"Juan Pierre","- - -","CF","1192","1143","10174.1","2739","34","28","15","2","1","11","0","0","","","","","",".990","7","443"
"Alex Rodriguez","- - -","SS","634","627","5448.2","1012","1828","46","10","8","444","90","116","17","","","","","",".984","7","1274"
"Richie Sexson","- - -","1B","1091","1069","9349.0","8841","854","48","24","9","823","60","11","650","81","","","","",".995","6","709"
"Jeromy Burnitz","- - -","RF","822","763","6739.1","1470","46","33","17","2","6","4","0","0","","","","","",".979","6","867"
"Kenny Lofton","- - -","CF","903","865","7445.0","2110","40","24","8","6","1","9","0","0","","","","","",".989","5","246"
"Ray Durham","- - -","2B","1112","1081","9388.0","2170","2959","100","59","16","682","175","306","39","","","","","",".981","4","230"
"Shawn Green","- - -","RF","1061","1023","9113.2","1920","41","29","10","6","3","6","0","0","","","","","",".985","4","651"
"Cristian Guzman","- - -","SS","1163","1126","9977.2","1722","3131","141","66","32","643","252","246","31","","","","","",".972","4","728"
"Tony Womack","- - -","SS","483","463","4086.2","634","1198","69","14","15","239","61","34","7","","","","","",".964","3","78"
"Marcus Giles","- - -","2B","746","722","6318.2","1413","2233","68","39","22","444","162","260","22","","","","","",".982","3","89"
"Carlos Lee","- - -","LF","1665","1653","14023.2","2848","96","46","30","5","0","13","1","0","","","","","",".985","3","243"
"Adrian Beltre","- - -","3B","2533","2509","22003.2","2041","4779","269","107","120","430","407","13","31","","","","","",".962","3","639"
"Bret Boone","- - -","2B","830","825","7238.0","1544","2137","62","23","14","481","148","173","19","","","","","",".983","3","1067"
"Roberto Alomar","- - -","2B","639","626","5353.1","1164","1635","44","19","5","385","71","122","16","","","","","",".985","2","860"
"Rafael Furcal","- - -","SS","1554","1514","13359.2","2376","4680","248","110","104","975","443","435","49","","","","","",".966","1","88"
"Sammy Sosa","- - -","RF","809","806","7037.0","1528","28","34","16","2","2","5","0","0","","","","","",".979","1","302"
